functional,SCF_Fe_2
B2PLYP,-4009.782449
B3LYP,-4015.08806
B3PW91,-4013.990599
B97D,-4014.022669
BLYP,-4014.401437
BMK,-4013.05134
bpw91,-4014.633544
CAM-B3LYP,-4014.118815
HSE06,-4011.955988
M05,-4013.874126
M06,-4013.691297
M06-2X,-4013.700899
M06-HF,-4013.780746
M06-L,-4014.464565
M08-HX,-4013.791271
MPW1PW91,-4014.256937
n12,-4013.615266
O3LYP,-4014.243692
OLYP,-4014.275018
OPBE,-4013.773959
OTPSS,-4013.773525
OVWN5,-4026.79609
PBE,-4011.609009
PBE0,-4011.693683
svwn,-3999.921655
TPSSh,-4014.705614
wB97,-4014.513646
wB97X,-4014.266863
wB97X-D,-4014.16817
X3LYP,-4013.909291