File Name,Fe-O Bond 1,Fe-O Bond 2,Fe-O Bond 3,Fe-O Bond 4,Fe-O Bond 5,Fe-O Bond 6,Average,St_deviation,Avg Deviation from expt
M06-L,2.044850453,2.044878387,2.044949143,2.044949859,2.044970288,2.044972071,2.044928367,0.000,0.0751
M06-2X,2.030669561,2.030678464,2.03083665,2.030847105,2.030936468,2.030939833,2.030818013,0.000,0.0892
BMK,2.029539951,2.029552784,2.029562005,2.029587622,2.029613832,2.029623193,2.029579898,0.000,0.0904
CAM-B3LYP,2.029023812,2.029062838,2.029064426,2.029080738,2.029152661,2.029154071,2.029089758,0.000,0.0909
M08-HX,2.03690108,2.036926289,2.036953223,2.036985992,2.037053777,2.03707232,2.036982114,0.000,0.0830
M05,2.043902449,2.043920338,2.043921024,2.043945838,2.043970923,2.043976883,2.043939576,0.000,0.0761
OTPSS,2.08029348,2.080373668,2.080401643,2.080441581,2.080535949,2.080610278,2.080442766,0.000,0.0396
M06,2.029805652,2.029811026,2.029876383,2.02996537,2.03006303,2.03012768,2.029941524,0.000,0.0901
B3LYP,2.043144758,2.043176632,2.043189107,2.04320411,2.043242867,2.043267318,2.043204132,0.000,0.0768
MPW1PW91,2.032932109,2.032935178,2.032962916,2.032966539,2.033046391,2.033048845,2.032981996,0.000,0.0870
BLYP,2.073894344,2.07390803,2.073925126,2.073925833,2.073925995,2.073950113,2.073921573,0.000,0.0461
PBE0,2.029827175,2.02996492,2.02997378,2.030056823,2.030057135,2.03009358,2.029995569,0.000,0.0900
B3PW91,2.03443312,2.034525966,2.034561834,2.034774439,2.034813495,2.034826753,2.034655934,0.000,0.0853
TPSSh,2.040596562,2.040658193,2.040735977,2.041066353,2.04114362,2.0411699,2.040895101,0.000,0.0791
OPBE,2.075992281,2.076014132,2.076026347,2.076035046,2.076098867,2.076100757,2.076044572,0.000,0.0440
n12,2.031139384,2.031194491,2.031209197,2.031299277,2.031331448,2.031388435,2.031260372,0.000,0.0887
bpw91,2.068388361,2.068399427,2.068401803,2.068422384,2.068431213,2.068462368,2.068417592,0.000,0.0516
B97D,2.0631834,2.063245672,2.063260405,2.063273373,2.063285314,2.063302355,2.06325842,0.000,0.0567
HSE06,2.032171665,2.032172897,2.032172972,2.032184792,2.032209306,2.032212622,2.032187376,0.000,0.0878
O3LYP,2.065791002,2.065810888,2.065851522,2.065916209,2.065947484,2.065979689,2.065882799,0.000,0.0541
PBE,2.059319729,2.059324196,2.059336553,2.059356507,2.059389732,2.059444648,2.059361894,0.000,0.0606
wB97X-D,2.034521998,2.034546998,2.034561282,2.034573864,2.034582987,2.034585961,2.034562182,0.000,0.0854
B2PLYP,2.035335628,2.035354358,2.035358149,2.035363877,2.035369992,2.035378698,2.035360117,0.000,0.0846
SPW91,1.969836452,1.969860077,1.96986426,1.969876548,1.969913363,1.969936948,1.969881275,0.000,0.1501
wB97,2.035355475,2.035522733,2.035587724,2.035640131,2.03577218,2.03580886,2.035614517,0.000,0.0844
OLYP,2.09157235,2.09157867,2.09167761,2.091695536,2.091718251,2.09180022,2.091673773,0.000,0.0283
OVWN5,2.123636076,2.123675389,2.123684214,2.123684839,2.123694172,2.123718139,2.123682138,0.000,0.0037
wB97X,2.033784734,2.033917393,2.033975428,2.03403056,2.03406508,2.034346248,2.034019907,0.000,0.0860
svwn,2.000321429,2.000369862,2.00045476,2.000455789,2.000458471,2.000461497,2.000420301,0.000,0.1196
M06-HF,2.031614448,2.031660266,2.031668353,2.031697418,2.031700063,2.031709863,2.031675068,0.000,0.0883
X3LYP,2.044173421,2.044173742,2.044187493,2.044196367,2.044219064,2.044248545,2.044199772,0.000,0.0758