File,Error_Fe_oct,error_layer_1,abs_error_layer1,error_layer_2,abs_error_layer2
B3LYP,2.02,0.09,0.09,-0.02,0.02
BLYP,1.56,0.62,0.62,-0.03,0.03
HSE06,1.84,0.09,0.09,-0.06,0.06
PBE,1.53,0.49,0.49,-0.13,0.13
BMK,2.02,0.48,0.48,0.41,0.41
PBE0,1.83,1.26,1.26,-0.42,0.42
X3LYP,1.97,0.49,0.49,0.44,0.44
wB97,2.18,0.65,0.65,0.65,0.65
M06-L,1.23,-0.52,0.52,-0.85,0.85
OPBE,1.55,1.49,1.49,0.93,0.93
M06,1.64,1.15,1.15,1.05,1.05
wB97X-D,2.03,1.08,1.08,1.13,1.13
B2PLYP,1.77,1.26,1.26,1.23,1.23
M06-HF,2.57,1.31,1.31,1.24,1.24
OTPSS,1.55,-0.77,0.77,-1.43,1.43
n12,1.59,2.25,2.25,1.45,1.45
bpw91,1.60,-0.89,0.89,-1.54,1.54
M06-2X,1.88,1.70,1.70,1.54,1.54
B3PW91,1.91,2.19,2.19,2.02,2.02
MPW1PW91,1.92,2.28,2.28,2.07,2.07
CAM-B3LYP,2.06,2.23,2.23,2.15,2.15
TPSSh,1.72,2.43,2.43,2.43,2.43
OLYP,1.54,1.54,1.54,2.57,2.57
wB97X,2.09,3.01,3.01,2.94,2.94
B97D,1.52,4.04,4.04,3.31,3.31
O3LYP,1.80,4.17,4.17,3.90,3.90