functional,SCF_Fe_2,SCF_Fe_3
B2PLYP,-2637.079535,-2636.848793
B3LYP,-2639.94232,-2639.75265
B3PW91,-2639.368693,-2639.102447
B97D,-2639.670377,-2639.33803
BLYP,-2639.642009,-2639.431735
BMK,-2638.545189,-2638.342084
bpw91,-2639.740984,-2639.586628
CAM-B3LYP,-2639.496177,-2639.226428
HSE06,-2638.215146,-2638.024563
M05,-2639.226506,-2639.001965
M05-2X,-2639.630611,9999999
M06,-2639.084854,-2638.860147
M06-2X,-2639.281566,-2639.03338
M06-HF,-2639.495473,-2639.263042
M06-L,-2639.504387,-2639.33419
M08-HX,-2639.343605,-2639.147358
MPW1PW91,-2639.527895,-2639.258795
n12,-2639.506325,-2639.238264
O3LYP,-2639.602529,-2639.268367
OLYP,-2639.631202,-2639.387898
OPBE,-2639.383956,-2639.143649
OTPSS,-2639.343069,-2639.183805
OVWN5,-2646.37002,-2645.695449
PBE,-2638.048437,-2637.841277
PBE0,-2638.073845,-2637.893238
SPW91,9999999,-2620.719406
svwn,-2631.39321,-2631.202007
TPSSh,-2639.740316,-2639.465485
wB97,-2639.64537,-2639.434952
wB97X,-2639.497656,-2639.202648
wB97X-D,-2639.446997,-2639.219618
X3LYP,-2639.318972,-2639.11394