functional,SCF_Fe_2,SCF_Fe_3,Delta,Ered,error
B2PLYP,-4009.782449,-4009.551444,-606504.6777,2.00,1.23
B3LYP,-4015.08806,-4014.902665,-486753.1022,0.75,-0.02
B3PW91,-4013.990599,-4013.730443,-683038.3965,2.79,2.02
B97D,-4014.022669,-4013.714974,-807854.3515,4.08,3.31
BLYP,-4014.401437,-4014.216498,-485557.3708,0.74,-0.03
BMK,-4013.05134,-4012.850159,-528201.5557,1.18,0.41
bpw91,-4014.633544,-4014.504165,-339682.5954,-0.77,-1.54
CAM-B3LYP,-4014.118815,-4013.853856,-695648.6468,2.92,2.15
HSE06,-4011.955988,-4011.772292,-482294.7407,0.71,-0.06
M05,-4013.874126,-4013.648595,-592131.0629,1.85,1.08
M06,-4013.691297,-4013.466891,-589177.2704,1.82,1.05
M06-2X,-4013.700899,-4013.458271,-637019.9715,2.31,1.54
M06-HF,-4013.780746,-4013.549367,-607485.3545,2.01,1.24
M06-L,-4014.464565,-4014.309673,-406666.8193,-0.08,-0.85
M08-HX,-4013.791271,-4013.600129,-501842.2445,0.91,0.14
MPW1PW91,-4014.256937,-4013.994791,-688263.8504,2.84,2.07
n12,-4013.615266,-4013.3761,-627930.4643,2.22,1.45
O3LYP,-4014.243692,-4013.914482,-864340.0148,4.67,3.90
OLYP,-4014.275018,-4013.994761,-735815.6987,3.34,2.57
OPBE,-4013.773959,-4013.553881,-577815.2353,1.70,0.93
OTPSS,-4013.773525,-4013.639957,-350684.5956,-0.66,-1.43
OVWN5,-4026.79609,-4026.495429,-789383.5126,3.89,3.12
PBE,-4011.609009,-4011.307646,-791230.1318,3.91,3.14
PBE0,-4011.693683,-4011.521008,-453358.1862,0.41,-0.36
svwn,-3999.921655,-3999.74548,-462546.7011,0.50,-0.27
TPSSh,-4014.705614,-4014.430522,-722255.9101,3.20,2.43
wB97,-4014.513646,-4014.303925,-550620.2801,1.42,0.65
wB97X,-4014.266863,-4013.972705,-772311.619,3.71,2.94
wB97X-D,-4014.16817,-4013.940688,-597254.2536,1.90,1.13
X3LYP,-4013.909291,-4013.70713,-530774.0468,1.21,0.44